"sample","pond","treatment","day","date","sample_vol_L","biomass_mg_L","C_ug","N_ug","t15N_ug","N_atom_perc","preN_atom_perc","add15N_perc","dorset_pond"
"zooplankton",1,"A",11.26,"27/07/13",2.73679770573563,0.3187,486.02,101.09,0.497172573476539,0.491811824588524,0.367833110230174,0.12397871435835,2
"zooplankton",1,"A",15.26,"31/07/13",3.3582667581384,0.1238,228.23,48.56,0.243370115251578,0.501174042939824,0.367833110230174,0.13334093270965,2
"zooplankton",1,"A",23.26,"08/08/13",2.65480722844605,0.3582,542.85,104.89,0.545075548103948,0.5196639795061,0.367833110230174,0.151830869275926,2
"zooplankton",1,"A",28.26,"13/08/13",2.3327495471966,0.3094,410.767,78.57,0.407746548506649,0.518959588273704,0.367833110230174,0.15112647804353,2
"zooplankton",1,"A",52.26,"06/09/13",3.95771766270195,0.3277,667.68,128.56,0.5682606655439,0.442019808294882,0.367833110230174,0.0741866980647077,2
"phytoplankton",2,"A",0.00999999999999979,"15/07/13",0.0313110609930112,15.56,174.7973,14.2964,0.0524354864774442,0.366774058346466,0.367138318678134,-0.00036426033166731,3
"phytoplankton",2,"A",0.819999999999999,"16/07/13",0.0313268954064344,15.22,170.9066,14.7592,0.149464562943351,1.01268742847411,0.367138318678134,0.645549109795976,3
"phytoplankton",2,"A",1.18,"16/07/13",0.0208751072564832,19.42,105.0782,9.0103,0.167930681766538,1.86376349030042,0.367138318678134,1.49662517162228,3
"phytoplankton",2,"A",1.68,"17/07/13",0.0313277031861167,12.58,147.4702,13.9331,0.383600680624172,2.753161038277,0.367138318678134,2.38602271959886,3
"phytoplankton",2,"A",2.05,"17/07/13",0.0313144831500262,12.17,133.8752,12.3506,0.310674794076706,2.51546316840239,0.367138318678134,2.14832484972426,3
"phytoplankton",2,"A",2.79,"18/07/13",0.0208873016368525,15.33,102.4576,9.2737,0.189401220206455,2.04234793239435,0.367138318678134,1.67520961371622,3
"phytoplankton",2,"A",3.93,"19/07/13",0.0313229710123527,12.25,123.9783,12.4624,0.204035726622504,1.63721054229124,0.367138318678134,1.27007222361311,3
"phytoplankton",2,"A",4.95,"20/07/13",0.0417404724078645,9.42,155.3619,14.3705,0.196622390580131,1.36823625190586,0.367138318678134,1.00109793322773,3
"phytoplankton",2,"A",6.92,"22/07/13",0.0417405360090559,9.42,140.3645,14.967,0.135753555885597,0.907019148029643,0.367138318678134,0.53988082935151,3
"phytoplankton",2,"A",11.75,"27/07/13",0.0730581504831179,6.05,171.7638,20.508,0.132603970042763,0.646596304089929,0.367138318678134,0.279457985411796,3
"phytoplankton",2,"A",15.84,"31/07/13",0.0783421371318028,5.73,128.0738,15.1055,0.085778455354297,0.567862403457661,0.367138318678134,0.200724084779527,3
"phytoplankton",2,"A",23.67,"08/08/13",0.0417969435998444,3.56,35.5408,3.8842,0.0186519838779373,0.480201428297649,0.367138318678134,0.113063109619515,3
"phytoplankton",2,"A",28.77,"13/08/13",0.230204485509114,1.95,135.419,14.4707,0.0655610129007899,0.453060411042934,0.367138318678134,0.0859220923648005,3
