"pond","NO2_uM","NO3_NO2_uM","NH3_uM","sample_date","treatment","NO3_uM"
"P7",0.1031,0.5309,1.5792,2013-07-31,"H",0.4278
"P8",0.115,0.4803,1.9338,2013-07-31,"A",0.3653
"P9",0.1082,1.8911,1.0531,2013-07-31,"H",1.7829
"P10",0.0221,0.3906,1.212,2013-07-31,"A",0.3685
"P15",0.0556,0.3577,1.9726,2013-07-31,"H",0.3021
"P16",0.0405,0.389,2.4245,2013-07-31,"A",0.3485
"P17",0.0518,0.3251,2.2964,2013-07-31,"H",0.2733
"P18",0.0734,0.4935,1.7614,2013-07-31,"A",0.4201
"P19",0.0943,0.4753,3.558,2013-07-31,"H",0.381
"P20",0.1165,0.8288,9.731,2013-07-31,"A",0.7123
"P1",0.0819,2.8683,2.4982,2013-08-08,"H",2.7864
"P2",0.091,0.4222,1.8025,2013-08-08,"A",0.3312
"P3",0.0452,0.273,1.5036,2013-08-08,"A",0.2278
"P4",0.0922,1.2585,2.1528,2013-08-08,"H",1.1663
"P5",0.1782,0.3503,1.6917,2013-08-08,"A",0.1721
"P6",0.0927,0.3428,2.4895,2013-08-08,"H",0.2501
"P7",0.085,0.3855,1.7769,2013-08-08,"H",0.3005
"P8",0.1748,0.0609,2.2441,2013-08-08,"A",-0.1139
"P9",0.1223,0.2947,1.928,2013-08-08,"H",0.1724
"P10",0.0917,0.4487,2.0657,2013-08-08,"A",0.357
"P15",0.1203,1.2565,1.9808,2013-08-08,"H",1.1362
"P16",0.0865,1.2473,1.5045,2013-08-08,"A",1.1608
"P17",0.0847,1.5425,6.7944,2013-08-08,"H",1.4578
"P18",0.0877,0.217,1.4081,2013-08-08,"A",0.1293
"P19",0.1195,0.3354,12.2243,2013-08-08,"H",0.2159
"P20",0.1338,0.9032,6.9058,2013-08-08,"A",0.7694
"P1",0.0273,0.923,2.3553,2013-07-13,"H",0.8957
"P2",0.0541,0.8949,1.4168,2013-07-13,"A",0.8408
"P3",0.0121,0.5076,1.1221,2013-07-13,"A",0.4955
"P4",0.0207,0.2399,1.4742,2013-07-13,"H",0.2192
"P5",0.085,0.2653,1.2823,2013-07-13,"A",0.1803
"P6",0.0046,0.0185,1.298,2013-07-13,"H",0.0139
"P7",0.0234,0.1693,1.4078,2013-07-13,"H",0.1459
"P8",0.1451,0.6519,2.462,2013-07-13,"A",0.5068
"P9",0.0758,0.7468,2.2444,2013-07-13,"H",0.671
"P10",0.0257,0.3252,1.3348,2013-07-13,"A",0.2995
"P12",0.0777,0.3312,1.6858,2013-07-13,"C",0.2535
"P13",0.0408,0.1713,1.448,2013-07-13,"C",0.1305
"P14",0.0309,0.2361,1.4094,2013-07-13,"C",0.2052
"P15",0.0659,0.4672,1.8926,2013-07-13,"H",0.4013
"P16",0.0341,0.8043,1.4352,2013-07-13,"A",0.7702
"P17",0.0317,0.5861,1.7606,2013-07-13,"H",0.5544
"P18",0.0318,1.1383,1.9186,2013-07-13,"A",1.1065
"P19",0.0316,0.5992,1.923,2013-07-13,"H",0.5676
"P20",0.0082,0.1129,NA,2013-07-13,"A",0.1047
"P1",0,0.5937,1.2252,2013-09-06,"H",0.5937
"P2",0.0312,5.7294,1.0024,2013-09-06,"A",5.6982
"P3",0,0.196,0.8237,2013-09-06,"A",0.196
"P4",0,0.2297,0.8468,2013-09-06,"H",0.2297
"P5",0.1637,0.3044,1.0655,2013-09-06,"A",0.1407
"P6",0,0,1.1179,2013-09-06,"H",0
"P7",0.0086,0.2324,0.9551,2013-09-06,"H",0.2238
"P8",0.0926,0.3412,7.5294,2013-09-06,"A",0.2486
"P9",0,0,0.9062,2013-09-06,"H",0
"P10",0,0.0472,0.8181,2013-09-06,"A",0.0472
"P15",0.0119,0.0609,0.9312,2013-09-06,"H",0.049
"P16",0,0,0.842,2013-09-06,"A",0
"P17",0,0,0.9092,2013-09-06,"H",0
"P18",0,0.0933,0.822,2013-09-06,"A",0.0933
"P19",0.0652,0.2633,18.5716,2013-09-06,"H",0.1981
"P20",0.0452,0.4237,2.3841,2013-09-06,"A",0.3785
"P1",0,2.0289,1.097,2013-07-19,"H",2.0289
"P2",0,0.2351,0.8807,2013-07-19,"A",0.2351
"P3",0,0.1248,0.7929,2013-07-19,"A",0.1248
"P4",0,0,0.8488,2013-07-19,"H",0
"P5",0,0.1198,0.9024,2013-07-19,"A",0.1198
"P6",0.017,0.1936,5.735,2013-07-19,"H",0.1766
"P7",0,0.0683,0.9848,2013-07-19,"H",0.0683
"P8",0.0606,0.6034,1.7313,2013-07-19,"A",0.5428
"P9",0,0.1768,0.8623,2013-07-19,"H",0.1768
"P10",0,0.1952,0.8953,2013-07-19,"A",0.1952
"P15",0.0102,0.2067,1.2541,2013-07-19,"H",0.1965
"P16",0,0.1723,0.8289,2013-07-19,"A",0.1723
"P17",0,0.078,1.1096,2013-07-19,"H",0.078
"P18",0,0.2597,0.83,2013-07-19,"A",0.2597
"P19",0,0.1265,1.4941,2013-07-19,"H",0.1265
"P20",0.0157,0.7111,11.7647,2013-07-19,"A",0.6954
"P1",0,0.8667,1.4813,2013-07-16,"H",0.8667
"P2",0.0185,0.3096,0.9491,2013-07-16,"A",0.2911
"P3",0,0.2372,0.745,2013-07-16,"A",0.2372
"P4",0,6e-04,0.7394,2013-07-16,"H",6e-04
"P5",0,0.0174,0.7716,2013-07-16,"A",0.0174
"P6",0,0.1425,4.9335,2013-07-16,"H",0.1425
"P7",0,0.2756,0.9601,2013-07-16,"H",0.2756
"P8",0.051,0.1896,2.4978,2013-07-16,"A",0.1386
"P9",0,0.6555,0.8026,2013-07-16,"H",0.6555
"P10",0,0,0.4902,2013-07-16,"A",0
"P15",0,0.1862,0.8365,2013-07-16,"H",0.1862
"P16",0,0.0622,0.8067,2013-07-16,"A",0.0622
"P17",0,0.7802,1.0022,2013-07-16,"H",0.7802
"P18",0,0,0.4852,2013-07-16,"A",0
"P19",0,0.0235,1.0382,2013-07-16,"H",0.0235
"P20",0,0.2857,4.6866,2013-07-16,"A",0.2857
